Bain CM360 Report

Date/Time Generated,3/3/26 9:45 PM
Report Time Zone,Europe/London
Account ID,2558272
Date Range,1/1/25 - 2/28/26
MRC Accredited Metrics,"Clicks(Desktop Display, Desktop Rich Media, Desktop Video, In-App Display, In-App Rich Media, In-App Video, Mobile Display, Mobile Rich Media, Mobile Video)",Active View metrics are accredited only when Measurement Source = Measured
"Reporting numbers are finalized after seven days, unless communicated otherwise."

Report Fields
Month,Campaign,Site (CM360),Placement,Placement ID,Impressions,Clicks
2025-02,Bain Global Central Brand Campaign 2025,WSJ,WSJ_NAM_CustomABM_Display_Folio,413957980,27001,27
2025-02,Bain Global Central Brand Campaign 2025,WSJ,WSJ_NAM_Subcribers_Display_Folio,413957959,148597,408
2025-02,Bain Global Central Brand Campaign 2025,WSJ,WSJ_NAM_Subscribers_Display_300x250,413954596,303566,281
2025-02,Bain Global Central Brand Campaign 2025,WSJ,WSJ_NAM_Subscribers_Display_300x600,413954590,128671,115
2025-02,Bain Global Central Brand Campaign 2025,WSJ,WSJ_NAM_Subscribers_Display_970x250,413954584,29606,23
2025-03,Bain Global Central Brand Campaign 2025,FT,FT_APAC_Audience+Contextual_Display_300x250,413957359,19416,38
2025-03,Bain Global Central Brand Campaign 2025,FT,FT_APAC_Audience+Contextual_Display_300x600,413957356,3562,6
2025-03,Bain Global Central Brand Campaign 2025,FT,FT_APAC_Contextual_Display_300x250,413957350,20028,38
2025-03,Bain Global Central Brand Campaign 2025,FT,FT_APAC_Contextual_Display_300x600,413954647,3354,6
2025-03,Bain Global Central Brand Campaign 2025,FT,FT_APAC_Contextual_Display_970x250,413954644,2875,3
2025-03,Bain Global Central Brand Campaign 2025,FT,FT_APAC_CustomABM+Contextual_Display_970x250,413957353,3258,3
2025-03,Bain Global Central Brand Campaign 2025,FT,FT_APAC_Subcribers_Display_300x250,413954641,22506,26
2025-03,Bain Global Central Brand Campaign 2025,FT,FT_APAC_Subcribers_Display_300x600,413954638,2784,12
2025-03,Bain Global Central Brand Campaign 2025,FT,FT_APAC_Subscribers_Display_970x250,413954635,8895,15
2025-03,Bain Global Central Brand Campaign 2025,FT,FT_EMEATier1_Audience+Contextual_Display_300x250,413957386,30099,42
2025-03,Bain Global Central Brand Campaign 2025,FT,FT_EMEATier1_Audience+Contextual_Display_300x600,413957383,2260,4
2025-03,Bain Global Central Brand Campaign 2025,FT,FT_EMEATier1_Contextual_Display_300x250,413957377,24062,61
2025-03,Bain Global Central Brand Campaign 2025,FT,FT_EMEATier1_Contextual_Display_300x600,413957374,2670,2
2025-03,Bain Global Central Brand Campaign 2025,FT,FT_EMEATier1_Contextual_Display_970x250,413957371,2023,1
2025-03,Bain Global Central Brand Campaign 2025,FT,FT_EMEATier1_CustomABM+Contextual_Display_970x250,413957380,1730,3
2025-03,Bain Global Central Brand Campaign 2025,FT,FT_EMEATier1_Subcribers_Display_300x250,413957368,35009,56
2025-03,Bain Global Central Brand Campaign 2025,FT,FT_EMEATier1_Subcribers_Display_300x600,413957365,2035,5
2025-03,Bain Global Central Brand Campaign 2025,FT,FT_EMEATier1_Subscribers_Display_970x250,413957362,4701,18
2025-03,Bain Global Central Brand Campaign 2025,FT,FT_EMEATier2_Audience+Contextual_Display_300x250,415807141,19440,47
2025-03,Bain Global Central Brand Campaign 2025,FT,FT_EMEATier2_Audience+Contextual_Display_300x600,416006741,1241,2
2025-03,Bain Global Central Brand Campaign 2025,FT,FT_EMEATier2_Contextual_Display_300x250,416006534,16355,30
2025-03,Bain Global Central Brand Campaign 2025,FT,FT_EMEATier2_Contextual_Display_300x600,415806418,1637,1
2025-03,Bain Global Central Brand Campaign 2025,FT,FT_EMEATier2_Contextual_Display_970x250,416006618,890,0
2025-03,Bain Global Central Brand Campaign 2025,FT,FT_EMEATier2_CustomABM+Contextual_Display_970x250,416326329,764,1
2025-03,Bain Global Central Brand Campaign 2025,FT,FT_EMEATier2_Subcribers_Display_300x250,416327493,20848,32
2025-03,Bain Global Central Brand Campaign 2025,FT,FT_EMEATier2_Subcribers_Display_300x600,416007914,972,6
2025-03,Bain Global Central Brand Campaign 2025,FT,FT_EMEATier2_Subscribers_Display_970x250,416007944,2925,9
2025-03,Bain Global Central Brand Campaign 2025,FT,FT_GLOBAL_Newswrap Newsletter_AV_Week1-2_MessageA_Display_AI_AIResults_300x250,418219980,67,4
2025-03,Bain Global Central Brand Campaign 2025,FT,FT_GLOBAL_Newswrap Newsletter_AV_Week1-2_MessageB_Display_AI_InnovationIncrease_300x250,417924005,68,4
2025-03,Bain Global Central Brand Campaign 2025,FT,FT_GLOBAL_Newswrap Newsletter_AV_Week3-4_MessageA_Display_AI_Transform_300x250,417694075,0,1
2025-03,Bain Global Central Brand Campaign 2025,FT,FT_LATAM_Audience+Contextual_Display_300x250,413954629,4697,9
2025-03,Bain Global Central Brand Campaign 2025,FT,FT_LATAM_Audience+Contextual_Display_300x600,413954623,889,0
2025-03,Bain Global Central Brand Campaign 2025,FT,FT_LATAM_Contextual_Display_300x250,413954611,5084,5
2025-03,Bain Global Central Brand Campaign 2025,FT,FT_LATAM_Contextual_Display_300x600,413954605,788,0
2025-03,Bain Global Central Brand Campaign 2025,FT,FT_LATAM_Contextual_Display_970x250,413954599,728,0
2025-03,Bain Global Central Brand Campaign 2025,FT,FT_LATAM_CustomABM+Contextual_Display_970x250,413954617,833,3
2025-03,Bain Global Central Brand Campaign 2025,FT,FT_LATAM_Subcribers_Display_300x250,413954593,6302,12
2025-03,Bain Global Central Brand Campaign 2025,FT,FT_LATAM_Subcribers_Display_300x600,413954587,548,2
2025-03,Bain Global Central Brand Campaign 2025,FT,FT_LATAM_Subscribers_Display_970x250,413954581,1499,3
2025-03,Bain Global Central Brand Campaign 2025,FT,FT_NAM_Audience+Contextual_Display_300x250,413948833,47565,64
2025-03,Bain Global Central Brand Campaign 2025,FT,FT_NAM_Audience+Contextual_Display_300x600,413957410,6364,4
2025-03,Bain Global Central Brand Campaign 2025,FT,FT_NAM_Contextual_Display_300x250,413957404,25864,40
2025-03,Bain Global Central Brand Campaign 2025,FT,FT_NAM_Contextual_Display_300x600,413957401,2917,6
2025-03,Bain Global Central Brand Campaign 2025,FT,FT_NAM_Contextual_Display_970x250,413957398,2384,3
2025-03,Bain Global Central Brand Campaign 2025,FT,FT_NAM_CustomABM+Contextual_Display_970x250,413957407,5456,9
2025-03,Bain Global Central Brand Campaign 2025,FT,FT_NAM_Subcribers_Display_300x250,413957395,41642,69
2025-03,Bain Global Central Brand Campaign 2025,FT,FT_NAM_Subcribers_Display_300x600,413957392,4467,22
2025-03,Bain Global Central Brand Campaign 2025,FT,FT_NAM_Subscribers_Display_970x250,413957389,12491,39
2025-03,Bain Global Central Brand Campaign 2025,The Economist,Economist_APAC_Audience+Contextual_Display_300x600,413951422,4488,2
2025-03,Bain Global Central Brand Campaign 2025,The Economist,Economist_APAC_Audience+Contextual_Display_Interscroller,414120185,11599,77
2025-03,Bain Global Central Brand Campaign 2025,The Economist,Economist_APAC_Audience+Contextual_Display_ResponsiveBillboard,415602946,10713,11
2025-03,Bain Global Central Brand Campaign 2025,The Economist,Economist_APAC_Audience_Display_300x600,413951434,22025,4
2025-03,Bain Global Central Brand Campaign 2025,The Economist,Economist_APAC_Audience_Display_Interscroller,414120188,22769,117
2025-03,Bain Global Central Brand Campaign 2025,The Economist,Economist_APAC_Audience_Display_ResponsiveBillboard,415604059,18237,13
2025-03,Bain Global Central Brand Campaign 2025,The Economist,Economist_APAC_Subscribers_Display_300x250,413951419,11538,33
2025-03,Bain Global Central Brand Campaign 2025,The Economist,Economist_APAC_Subscribers_Display_300x600,413951416,40016,4
2025-03,Bain Global Central Brand Campaign 2025,The Economist,Economist_APAC_Subscribers_Display_Interscroller,414120182,48812,228
2025-03,Bain Global Central Brand Campaign 2025,The Economist,Economist_APAC_Subscribers_Display_ResponsiveBillboard,415602955,42149,42
2025-03,Bain Global Central Brand Campaign 2025,The Economist,Economist_CA_Audience+Contextual_Display_300x600,413951368,2150,2
2025-03,Bain Global Central Brand Campaign 2025,The Economist,Economist_CA_Audience+Contextual_Display_Interscroller,413957965,4903,37
